UVP/UVB Name,Human-Friendly Name,Actions,Product Category,Task Category,Action Type,Sensitivity Level,Description,super_admin,admin,view_only,developer,support,support_associate,analyst,refund_analyst,dispute_analyst,issuing_support_agent,tax_analyst,identity_analyst,iam_admin,sandbox_admin
checkout_session_operations,Checkout Sessions,"read, write",Products & Orders,Process transactions,Read + Write,Non-sensitive,"Read access to checkout sessions, cart sessions, and delegated checkout",write,write,read,write,,,write,,,,,,,
checkout_summary,Checkout Summary,read,Products & Orders,Monitor platform,Read-only,Non-sensitive,Read access to checkout summary (implies payment page and invoice read),read,read,read,,read,read,,read,read,,,,,
climate_operations,Climate Orders,"read, write",Crypto & Climate,Process transactions,Read + Write,Non-sensitive,Read access to climate orders and carbon removal projects,write,write,read,write,,,write,,,,,,,
connect_risk,Connect Risk Controls,write,Admin,Manage disputes & fraud,Administrative,Non-sensitive,Write access to Connect account risk controls including payment/payout disablement management and risk score notifications,write,write,,,,,,,,,,,,
connect_settings,Connect Platform Settings,write,Account & Connect,Configure settings,Administrative,Non-sensitive,Read and manage Connect settings with extended support access,write,write,,,write,write,,,,,,,,
connected_account_operations,Connected Account Management,"read, write",Account & Connect,Monitor platform,Read + Write,Contains PII,Read access to connected accounts and capabilities,write,write,read,write,write,write,read,,,,,,,
credit_note_operations,Credit Notes,"read, write",Billing & Subscriptions,Handle customer issues,Read + Write,Financial data,Read access to credit notes,write,write,read,write,write,write,write,write,,,,,,
crypto_extended_operations,Crypto Extended Operations,write,Crypto & Climate,Process transactions,Administrative,Non-sensitive,Extended write access to crypto payin sessions and onboarding,write,write,,write,,,write,,,,,,,
crypto_operations,Crypto Accounts,"read, write",Crypto & Climate,Process transactions,Read + Write,Non-sensitive,"Read access to crypto financial accounts, onramp sessions, and checkout sessions",write,write,read,write,,,write,,,,,,,
customer_consent_operations,Customer Consent (IAM),"read, write",Support & Operations,Handle customer issues,Read + Write,Contains PII,Read access to customer consent for data access (IAM),write,write,read,write,write,write,write,write,write,,write,,write,
customer_operations,Customer Profiles,"read, write",Customers,Handle customer issues,Read + Write,Contains PII,"Read access to customer profiles, analytics, and email logs",write,write,read,write,write,write,write,read,read,,,,,
customer_portal_operations,Customer Portal,write,Customers,Configure settings,Create & update,Non-sensitive,Write access to create and manage customer portals and customer portal sessions,write,write,,,,,write,,,,,,,
dashboard_approvals,Dashboard Approvals,write,Support & Operations,Configure settings,Administrative,Non-sensitive,Individual permission: dashboard_approvals_write,write,write,,,,,,,,,,,,
dashboard_baseline,Dashboard Access (Basic),read,Support & Operations,All tasks,Read-only,Non-sensitive,"Basic dashboard navigation, search, compartments, account status, and Stripe apps",read,read,read,read,read,read,read,read,read,read,read,read,read,read
dashboard_terminal,Dashboard Terminal,write,Terminal,Configure settings,Administrative,Non-sensitive,Individual permission: dashboard_terminal_write,write,write,,,,,,,,,,,,
data_export_operations,Data Export,read,Integrations & Data,Export & analyze data,Read-only,Financial data + PII,Read access to export and download data including balance history and other reports,read,read,read,read,,,read,,,,,,,
data_migration_specialist,Data Migration Specialist,write,Integrations & Data,Develop & integrate,Administrative,Contains PII,Individual permission: data_migration_specialist_write,write,,,,,,,,,,,,,
data_portability_api,Data Portability API,"read, write",Integrations & Data,Export & analyze data,Read + Write,Contains PII,Read access to data portability API,write,write,read,write,write,write,write,read,read,,,,read,read
data_portability_dashboard,Data Portability Dashboard,"read, write",Integrations & Data,Export & analyze data,Read + Write,Contains PII,Dashboard read access to data portability requests and copy submissions,write,write,read,,,,,,,,,,,
datastore_operations,Data Store,"read, write",Integrations & Data,Develop & integrate,Read + Write,Non-sensitive,Read access to entities from Data Store,write,write,read,write,write,write,write,,,,,,,
dev_integration,Developer Tools,"read, write",Integrations & Data,Develop & integrate,Read + Write,Non-sensitive,"Read access to development and integration testing features including SCA landing pages, Llama/Rocket tools, multiprocessor testing, and sandbox environments",write,write,read,write,,,write,,,,,,,
direct_export,Direct Export,write,Integrations & Data,Export & analyze data,Administrative,Financial data + PII,Individual permission: direct_export_write,write,write,,,,,,,,,,,,
dispute_operations,Disputes,"read, write",Disputes & Fraud Prevention,Handle customer issues,Read + Write,Non-sensitive,"Read access to disputes, dispute settings, and radar rules",write,write,read,write,write,write,write,read,write,,,,,
email_operations,Email & Communication,read,Support & Operations,Handle customer issues,Read-only,Non-sensitive,Read access to user emails and communication center settings,read,read,read,read,read,read,read,,,,,,,
embeddable_key_admin,Embedded Payment Keys,write,Account & Connect,Configure settings,Administrative,Payment credentials,"Administrative access to embeddable account keys for partner integrations including account management, risk, documents, capital, and payouts",write,write,,,,,,,,,,,,
emerald_admin,Emerald Admin,"read, write",Issuing & Cards,Configure settings,Administrative,Non-sensitive,Individual permission: emerald_admin,write,write,,,,,read,,,,,,,
event_operations,Events & Logs,"read, write",Integrations & Data,Monitor platform,Read + Write,Non-sensitive,Read access to events and logs,write,write,read,write,read,read,write,,,,read,read,,
express_admin_only_bundle,Express Admin (Bundle),write,Admin,Configure settings,Administrative,Payment credentials,"Express-specific admin permissions for account deletion, instant payouts, embeddable keys, and messaging",write,write,,,,,,,,,,,,
express_app_operations,Express App Operations,write,Integrations & Data,Configure settings,Administrative,Non-sensitive,"Access to Express App features including account management, goals, notifications, and preferences",write,write,,,,,,,,,,,,
file_operations,File Management,"read, write",Integrations & Data,Export & analyze data,Read + Write,Contains PII,"Read access to uploaded files, file links, file rendering, and Horizon files",write,write,read,write,,,write,,,,,read,,
financial_connections_operations,Financial Connections,"read, write",Financial Operations,Process transactions,Read + Write,Financial data + PII,"Read access to Financial Connections dashboard, API, accounts, and auth sessions",write,write,read,write,,,read,,,,,,,
financial_partner_support,Financial Partner Support,read,Capital & Treasury,Handle customer issues,Read-only,Financial data,Individual permission: financial_partner_support_read,,,,,,,,,,,,,,
gift_card_operations,Gift Cards,"read, write",Products & Orders,Process transactions,Read + Write,Financial data,Read access to gift cards,write,write,read,write,read,,write,,,,,,,
global_tax_reporting,Global Tax Reporting,write,Tax,Monitor tax compliance,Administrative,Financial data + PII,"Write access to global tax reporting including CSV exports/imports, platform settings, and test reports",write,write,,,,,,,,,write,,,
identity_verification_operations,Identity Verification,"read, write",Compliance & Identity,Verify identity,Read + Write,Contains PII,Read access to identity verification and Gelato interventions,write,write,read,write,,,write,,,,,write,,
idprod_settings,Identity Product Settings,read,Compliance & Identity,Configure settings,Read-only,Non-sensitive,Individual permission: idprod_settings_read,,,,,,,,,,,,read,,
invoice_operations,Invoices & Quotes,"read, write",Billing & Subscriptions,Handle customer issues,Read + Write,Financial data,"Read access to invoices, quotes, templates, invoice details, and paper checks",write,write,read,write,write,write,write,read,read,,,,,
issuing_admin,Issuing Admin,write,Issuing & Cards,Configure settings,Administrative,Payment credentials,Individual permission: issuing_admin,write,write,,,,,,,,,,,,
issuing_card_operations,Issuing Cards,"read, write",Issuing & Cards,Manage cards,Read + Write,Payment credentials,Read access to issuing cards,write,write,read,,write,"read, write",write,,,,,,,
issuing_operations,Issuing (Full Access),write,Issuing & Cards,Manage cards,Administrative,Payment credentials,Full write access to all Issuing resources (mega permission),write,write,,write,,,write,,,,,,,
issuing_support_agent,Issuing Support Agent,write,Issuing & Cards,Handle customer issues,Administrative,Payment credentials,Individual permission: issuing_support_agent,write,write,,,,,,,,write,,,,
license_fee_subscription_operations,License Fee Subscriptions,"read, write",Billing & Subscriptions,Manage billing,Read + Write,Financial data,Read access to license fee subscriptions,write,write,,read,write,write,,,,,,,,
managed_support,Managed Support,"read, write",Support & Operations,Handle customer issues,Read + Write,Non-sensitive,"Read access to managed support operations including file drops, merchant settings, messages, alerts, and integration health",write,write,read,write,,,write,,,,,,,
merchant_operations,Merchant Case Management,"read, write",Account & Connect,Handle customer issues,Read + Write,Contains PII,Read access to merchant case management for Connect accounts,write,write,read,write,,,read,,,,,,,
oauth_settings,OAuth Settings,"read, write",Integrations & Data,Configure settings,Read + Write,Non-sensitive,Individual permission: oauth_settings_write,write,write,read,read,,,read,,,,,,,"read, write"
opal_operations,Opal (Direct Banking),read,Issuing & Cards,Monitor platform,Read-only,Financial data,Read access to Opal dashboard surfaces for direct banking,read,read,read,,,,,,,read,,,,
order_operations,Orders,"read, write",Products & Orders,Handle customer issues,Read + Write,Non-sensitive,Read access to orders (v1 and v2) and order history,write,write,read,write,write,write,write,read,read,,,,,
order_refund_operations,Order Refunds,write,Products & Orders,Handle customer issues,Create & update,Financial data,Write access to refund orders,write,write,,,,,write,write,,,,,,
partner_settings,Partner Settings,write,Account & Connect,Configure settings,Administrative,Non-sensitive,Manage partner settings and listings,write,write,,,write,write,,,,,,,,
payment_attempt_records_operations,Payment Attempt Records,"read, write",Payments,Monitor platform,Read + Write,Non-sensitive,Read access to payment attempt records and logs,write,write,read,read,write,write,write,read,read,,,,,
payment_intent,Payment Intents (Read Only),read,Payments,Handle customer issues,Read-only,Non-sensitive,Individual permission: payment_intent_read,,,read,,,,,read,read,,,,,
payment_intent_operations,Payment Intents,write,Payments,Process transactions,Create & update,Non-sensitive,"Write access to create, update, cancel, and capture payment intents",write,write,,write,write,write,write,,,,,,,
payment_processing,Payment Methods,"read, write",Payments,Process transactions,Read + Write,Payment credentials,"Read access to payment processing including payment methods, tokens, card verification, and setup intents",write,write,read,write,write,write,write,read,read,,,,,
payment_provider_operations,Payment Providers,"read, write",Payments,Configure settings,Read + Write,Non-sensitive,"Read access to payment providers, gateways, payment partner analyst data, and provider-specific operations",write,write,read,write,,,write,,,,,,,
payout_operations,Payouts,"read, write",Financial Operations,Transfer funds,Read + Write,Financial data,"Read access to payouts, schedules, and payout links",write,write,read,,,,write,,,,,,,
plan_operations,Legacy Billing Plans,"read, write",Billing & Subscriptions,Manage billing,Read + Write,Financial data,Read access to legacy billing plans (pre-pricing tables),write,write,,write,write,,write,,,,,,,
platform_admin_operations,Platform Administration,write,Account & Connect,Configure settings,Administrative,Contains PII,"Platform administration including account templates, underwriting, V2 account management, recipient verification, financial accounts, merchant analytics, and attribute management",write,write,,write,,,write,,,,,,,
platform_blocklist_operations,Platform Blocklists,"read, write",Account & Connect,Manage disputes & fraud,Read + Write,Non-sensitive,Write access to manage platform-level blocklists and delete list items,write,write,read,,write,write,write,,,,,,,
pricing_pages_operations,Pricing Pages & Tables,"read, write",Products & Orders,Manage catalog,Read + Write,Non-sensitive,"Read access to pricing pages, pricing tables, and line items",write,write,read,write,,,write,,,,,,,
product_operations,Products & Pricing,"read, write",Products & Orders,Manage catalog,Read + Write,Non-sensitive,"Read access to products, catalog, pricing plans, SKUs, rate cards, license fees, coupons, shipping rates, inventory, and tax product transactions",write,write,read,,write,read,write,read,read,,,,,
promotion_operations,Promotions & Coupons,"read, write",Products & Orders,Manage catalog,Read + Write,Non-sensitive,Read access to coupons and promotion codes,write,write,read,write,write,write,write,,,,,,,
radar_dashboard_full,Radar Dashboard (Full),read,Disputes & Fraud Prevention,Manage disputes & fraud,Read-only,Non-sensitive,"Full read access to all Radar dashboard pages (analytics, reviews, disputes, rules, settings)",read,read,read,,,,read,,,,,,,
radar_operations,Fraud Prevention Rules,"read, write",Disputes & Fraud Prevention,Manage disputes & fraud,Read + Write,Non-sensitive,"Read access to Radar including reviews, disputes, rules, and analytics",write,write,read,write,read,read,read,read,,,,,,
rate_card_activation,Rate Card Activation,write,Billing & Subscriptions,Configure settings,Administrative,Non-sensitive,Individual permission: rate_card_activation_write,write,write,,,write,write,,,,,,,,
reporting_operations,Financial Reports,"read, write",Integrations & Data,Export & analyze data,Read + Write,Financial data,Read access to run and access reports powered by the reporting dataset,write,write,"read, write",write,write,write,write,read,,,write,read,,
return_operations,Returns,"read, write",Products & Orders,Handle customer issues,Read + Write,Non-sensitive,Read access to return intents and return methods,write,write,read,write,write,write,write,,,,,,,
review_operations,Fraud Reviews,write,Disputes & Fraud Prevention,Manage disputes & fraud,Create & update,Non-sensitive,Write access to approve or refund fraud reviews,write,write,,,write,write,write,,,,,,,
sandbox_creation,Sandbox Creation,write,Account & Connect,Develop & integrate,Create & update,Non-sensitive,Write access to create sandbox organizations for testing,write,write,,write,,,,,,,,,,write
sandbox_only_login,Sandbox Only Login,write,Account & Connect,Develop & integrate,Administrative,Non-sensitive,Individual permission: sandbox_only_login,,,,,,,,,,,,,write,write
secret_operations,Secret Store,"read, write",Integrations & Data,Develop & integrate,Read + Write,Payment credentials,Read access to secrets from Secret Store,write,write,read,write,write,write,write,,,,,,,
sensitive_resources,API Keys & Secrets,read,Admin,Develop & integrate,Read-only,Payment credentials,"Read access to sensitive resources including API keys, metadata keys, security settings, treasury platform, and tax reporting. Contains PII data.",read,read,read,read,,,,,,,,,,
settings_file_drop,Settings File Drop,write,Support & Operations,Configure settings,Administrative,Contains PII,Individual permission: settings_file_drop,,,,,,,,,,,,,,
settings_security,Security Settings,write,Support & Operations,Configure settings,Administrative,Payment credentials,Individual permission: settings_security,,,,,,,,,,,,,write,
sso_settings,SSO Settings,"read, write",Integrations & Data,Configure settings,Read + Write,Non-sensitive,"Read access to OAuth, SSO, SAML, and user group settings",write,write,read,,,,read,,,,,,,write
stripe_apps_admin,Stripe Apps Admin,write,Integrations & Data,Configure settings,Administrative,Non-sensitive,Individual permission: stripe_apps_admin,write,write,,,,,,,,,,,,
stripe_apps_development,Stripe Apps Development,"read, write",Integrations & Data,Develop & integrate,Read + Write,Non-sensitive,"Read access to Stripe Apps projects, builds, environments, and marketplace",write,write,read,write,,,write,,,,,,,
stripe_card_admin,Stripe Card Admin,"read, write",Issuing & Cards,Configure settings,Read + Write,Payment credentials,Individual permission: stripe_card_admin_read,write,write,read,,,,read,,,,,,,
stripecli_operations,Stripe CLI,read,Integrations & Data,Develop & integrate,Read-only,Non-sensitive,Read access to Stripe CLI device registrations and webhook response logs for local development,read,read,read,,,,read,,,,,,,
subscription_operations,Subscriptions,"read, write",Billing & Subscriptions,Manage billing,Read + Write,Financial data,"Read access to subscriptions, schedules, and subscription payment methods",write,write,read,write,write,write,write,read,read,,,,,
super_admin_only_bundle,Super Admin (Bundle),write,Admin,Manage team access,Destructive,Payment credentials,"Super admin permissions for role assignment, Horizon compartment administration, and elevated privileges",write,,,,,,,,,,,,,
support_history_admin,Support History Admin,write,Support & Operations,Handle customer issues,Administrative,Non-sensitive,Individual permission: support_history_admin,write,write,,write,,,,,,,,,,
tax_admin_operations,Tax Admin Operations,write,Tax,Monitor tax compliance,Administrative,Financial data + PII,"Tax analyst administrative operations including export, messaging, communications, and W8/W9 access",write,write,,,,,,,,,write,,,
tax_automation_operations,Tax Automation,"read, write",Tax,Configure settings,Read + Write,Non-sensitive,Read access to tax automatic rules and tax calculations,write,write,read,write,write,,write,,,,,,,
tax_filing_operations,Tax Filing,"read, write",Tax,Monitor tax compliance,Read + Write,Financial data + PII,"Read access to tax filing enrollment, registrations (RaaS), and merchant tax settings",write,write,read,read,,,write,,,,write,,,
tax_rates_operations,Tax Rates & Codes,"read, write",Tax,Configure settings,Read + Write,Non-sensitive,"Read access to tax rates, tax codes, tax settings, tax locations, and tax transactions",write,write,read,write,write,write,write,,,,,,,
tax_reporting,Tax Reporting,write,Tax,Monitor tax compliance,Administrative,Financial data + PII,Individual permission: tax_reporting_write,write,write,,,,,,,,,write,,,
team_management,Team & Role Management,"read, write",Account & Connect,Manage team access,Administrative,Non-sensitive,"Read access to team management including custom roles, user invites, user roles, and team settings",write,write,read,,,,,,,,,,write,
terminal_hardware_operations,Terminal Hardware Management,write,Terminal,Manage hardware,Administrative,Non-sensitive,"Write access to process terminal hardware returns, warranty claims, and CSV reports",write,write,,,write,,write,,,,,,,
terminal_infrastructure,Terminal Hardware (View),read,Terminal,Monitor hardware,Read-only,Non-sensitive,"Read access to terminal readers, locations, configurations, and hardware",read,read,read,,read,read,read,,,,,,,
terminal_operations,Terminal Point of Sale,write,Terminal,Manage hardware,Create & update,Non-sensitive,Full write access to terminal POS operations and hardware management,write,write,,,,,write,,,,,,,
topup_admin,Top-Up Admin,write,Financial Operations,Transfer funds,Administrative,Financial data,"Administrative write access to top-ups including source management, account access, and balance operations",write,write,,,,,,,,,,,,
topup_operations,Top-Ups,"read, write",Financial Operations,Monitor financials,Read + Write,Financial data,Read access to top-ups including status and history,"read, write","read, write",read,,,,write,,,,,,,
transfer_operations,Transfers,"read, write",Financial Operations,Transfer funds,Read + Write,Financial data,Read access to transfers including transfer reversals and schedules,write,write,read,,,,write,,,,,,,
transfer_write_visible,Transfer Write Visible,write,Financial Operations,Transfer funds,Administrative,Financial data,Individual permission: transfer_write_visible,write,write,,,,,,,,,,,,
treasury_operations,Treasury Accounts,"read, write",Capital & Treasury,Monitor financials,Read + Write,Financial data,Read access to Treasury financial accounts and transactions,write,write,read,,,,read,,,,,,,
treasury_platform,Treasury Platform,write,Capital & Treasury,Configure settings,Administrative,Financial data,Individual permission: treasury_platform_write,write,write,,write,,,,,,,,,,
user_support,User Support,"read, write",Support & Operations,Handle customer issues,Read + Write,Non-sensitive,"Read access for user support including file links, notes, messages, and file rendering",write,write,write,write,write,write,write,write,,write,,,read,
